code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	packaging_text	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	brand_owner	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	-soluble-fiber_100g	-insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
5900020036209	https://fr.openfoodfacts.org/produit/5900020036209	kiliweb	1594140187	1605042523	Nesquik breakfast cereal bar						Nestlé	nestle	Snacks, Snacks sucrés, Barres, Barres de céréales	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars					en:ab-agriculture-biologique	en:organic,en:eu-organic,fr:ab-agriculture-biologique							France																	12	d		Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/590/002/003/6209/front_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/590/002/003/6209/front_fr.11.200.jpg	https://static.openfoodfacts.org/images/products/590/002/003/6209/front_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/590/002/003/6209/front_fr.11.200.jpg			https://static.openfoodfacts.org/images/products/590/002/003/6209/nutrition_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/590/002/003/6209/nutrition_fr.13.200.jpg		450	1883		18.6	6.1																																			59.7	23.9									7.2			7.3				0.28	0.112																																												12								
3770007543615	https://fr.openfoodfacts.org/produit/3770007543615	kiliweb	1598550451	1605042481	Barre de granola chocolat noisettes								Snacks, Snacks sucrés, Barres, Barres de céréales	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars					en:ab-agriculture-biologique	en:organic,en:eu-organic,fr:ab-agriculture-biologique							en:fr																	6	c		Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/377/000/754/3615/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/377/000/754/3615/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/377/000/754/3615/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/377/000/754/3615/front_fr.3.200.jpg			https://static.openfoodfacts.org/images/products/377/000/754/3615/nutrition_fr.5.400.jpg	https://static.openfoodfacts.org/images/products/377/000/754/3615/nutrition_fr.5.200.jpg		174	728		8	4.1999998092651																																			21	8.6000003814697												3.4000000953674				0.25999999046326	0.103999996185304																																												6								
3423720008014	https://fr.openfoodfacts.org/produit/3423720008014	openfoodfacts-contributors	1486663717	1605041831	Barres de Céréales Abricots		125 g e (6 * 21 g)	Carton,plastique	carton,plastique		Bio Soleil	bio-soleil	"Snacks, Snacks sucrés, Barres, Barres de céréales, Barres de céréales aux fruits, Barres de céréales à l'abricot"	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:fruits-cereal-bars,en:apricot-cereal-bars			France	france	Bio,Bio européen,FR-BIO-01,Point Vert,Fabriqué en France,Sans huile de palme,AB Agriculture Biologique	en:organic,en:eu-organic,en:fr-bio-01,en:green-dot,en:made-in-france,en:palm-oil-free,fr:ab-agriculture-biologique					France		France	"Céréales (42% ) (riz*, blé*, avoine*, sucre de canne blond*, sirop de malt d'orge*, sel de mer), raisins* (12 %) (raisin sultanine, huile de tournesol*); abricots* (12%) (abricot*, farine de riz*), sirop de blé*; noisettes* (6 %), miel*; arôme naturel d'abricot* (abricot*); huile de tournesol oléique désodorisée* (antioxydant extrait : de romarin*) gomme d'acacia*. Ingrédients issus de l’agriculture biologique"	en:gluten,en:nuts	en:gluten,en:nuts	en:eggs,en:milk,en:nuts,en:peanuts,en:soybeans	en:eggs,en:milk,en:nuts,en:peanuts,en:soybeans	21 g	21		0		0			0			1	b	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:apricot-cereal-bars	https://static.openfoodfacts.org/images/products/342/372/000/8014/front_fr.26.400.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/front_fr.26.200.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/front_fr.26.400.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/front_fr.26.200.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/ingredients_fr.28.400.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/ingredients_fr.28.200.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/nutrition_fr.30.400.jpg	https://static.openfoodfacts.org/images/products/342/372/000/8014/nutrition_fr.30.200.jpg		375	1569		8.7	0.9																																			65	23									6.2			6				0.2	0.08																																						34.5						1								
4011800523916	https://fr.openfoodfacts.org/produit/4011800523916	kiliweb	1548319339	1605006632	Haferkraft,Müsli-riegel		140g	Karton,Kunststoff	karton,kunststoff		Corny	corny	Getreideriegel	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars													Frankreich	Hafer-Kakao-Riegel Vollkornhaferflocken 51%, Glukose-Fruktose-Sirup, Vollmilchschokoladenstücke (Zucker, Kakaomasse 3%, Vollmilchpulver, Kakaobutter 1%, Emulgator Lecithine (Sonnenblume)), Kokosfett, Glukosesirup, fettarmes Kakaopulver 2%, Emulgator Lecithine (Sonnenblume), Salz, natürliches Aroma. Kann Schalenfrüchte und Erdnüsse enthalten. *bei einer Verzehrmenge von zwei Riegeln			en:nuts,en:peanuts	en:nuts,en:peanuts	35g	35		0		0			0			21	e		Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/401/180/052/3916/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/401/180/052/3916/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/401/180/052/3916/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/401/180/052/3916/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/401/180/052/3916/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/401/180/052/3916/ingredients_fr.7.200.jpg				431	1803		18.1	12.7																																			55.8	22.9												8.2				0.23	0.092																																												21								
3387390406719	https://fr.openfoodfacts.org/produit/3387390406719	openfoodfacts-contributors	1391599149	1604993587	NESQUIK Barres de Céréales	Barre de céréale	6 x 25 g	sachet plastique,boite carton	sachet-plastique,boite-carton		Nestlé	nestle	Snacks, Snacks sucrés, Barres, Barres de céréales	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars												Magasins U,Delhaize	Belgium,France,Portugal,Spain,Switzerland	"Céréales 32,1% (farine complète de BLE 22%, semoule de maïs, farine de riz), sirop de glucose, huiles végétales (huiles de palmiste et de palme, huile de tournesol), LAIT concentré sucré 8,2% (LAIT, sucre), sucre, LAIT écrémé en poudre 7,5%, chocolat en poudre 7,5% (sucre, poudre de cacao), sirop de sucre inverti, humectants : glycérol et sirop de sorbitol ; vitamines et minéraux (carbonate de calcium, niacine, fer, acide pantothénique, acide folique, D, B6, B2), maltodextrine, sel, émulsifiant : lécithine de tournesol ; cacao maigre en poudre, dextrose, correcteur d'acidité : phosphates de sodium ; arôme naturel, antioxydant : extrait riche en tocophérols. Peut contenir du soja et des fruits à coque."	en:gluten,en:milk	en:gluten,en:milk	en:nuts,en:soybeans	en:nuts,en:soybeans	25 g	25		5	en:e306,en:e322,en:e322i,en:e339,en:e420,en:e420ii,en:e422	1		huile-de-palme	0			15	d	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/338/739/040/6719/front_fr.74.400.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/front_fr.74.200.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/front_fr.74.400.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/front_fr.74.200.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/ingredients_fr.55.400.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/ingredients_fr.55.200.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/nutrition_fr.76.400.jpg	https://static.openfoodfacts.org/images/products/338/739/040/6719/nutrition_fr.76.200.jpg	1711	407	1711		12.9	7.4																																			60.7	29.5									4.9			7				0.49	0.196				5					0.001	0.0127	0.001	195				0.0051					1.375		0.0133																					15								
7622210617699	https://fr.openfoodfacts.org/produit/7622210617699	tacite	1476382214	1604956913	Grany Cranberry Noisettes	"Barre céréalière à la canneberge et aux noisettes"	130 g	carton,plastique,sachet	carton,plastique,sachet		LU	lu	"Snacks, Snacks sucrés, Barres, Barres de céréales, Barres de céréales aux fruits à coques, Barre céréalière aux amandes ou aux noisettes, Barres de céréales aux fruits, Barre céréalière aux noisettes"	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:nuts-cereal-bars,en:cereal-bar-with-almonds-or-hazelnuts,en:fruits-cereal-bars,en:cereal-bar-with-hazelnuts													France	Céréales 35,7 % (farine de riz 16,5 %, flocons de SEIGLE malté 11,2 %, farine de BLE 3,3 %, flocons d'AVOINE 3,1 %, farine de BLE malté 1,6 %), sirop de glucose, stabilisant (sirop de sorbitol), huile de palme, canneberges séchées confites 9,3 % [sucre, canneberges 3,7 % (équivalent canneberges 6,2 %), huile de tournesol], NOISETTES 7,5 %, sucre, gluten de BLE, dextrose, sel, amidon de riz, émulsifiants (E473, lécithine de tournesol), correcteur d'acidité (acide citrique), arômes.	en:gluten,en:nuts,fr:AVOINE	en:gluten,en:nuts,fr:avoine	en:milk,en:nuts	en:milk,en:nuts	21,67 g	21.67		4	en:e322,en:e322i,en:e330,en:e420,en:e420ii,en:e473	1		huile-de-palme	0			14	d	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bar-with-hazelnuts	https://static.openfoodfacts.org/images/products/762/221/061/7699/front_fr.6.400.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/front_fr.6.200.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/front_fr.6.400.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/front_fr.6.200.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/ingredients_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/ingredients_fr.7.200.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/nutrition_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/762/221/061/7699/nutrition_fr.8.200.jpg		427	1787		16	5.5																																			68	27									3.5			5.1				0.5	0.2																																												14								
3700181513067	https://fr.openfoodfacts.org/produit/3700181513067	kiliweb	1573926048	1604954356	Happy Muesli						Gavroche Céréales	gavroche-cereales	Chocolate cereal bars	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:chocolate-cereal-bars													France																	18	d		Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:chocolate-cereal-bars	https://static.openfoodfacts.org/images/products/370/018/151/3067/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/ingredients_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/ingredients_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/nutrition_fr.5.400.jpg	https://static.openfoodfacts.org/images/products/370/018/151/3067/nutrition_fr.5.200.jpg		375	1569		13	7.6																																			53	20												6				0.81	0.324																																												18								
7613379088178	https://fr.openfoodfacts.org/produit/7613379088178	kiliweb	1524721840	1604952638	Crunchy Nature	Getreideriegel	6 x 19 g				Coop Naturaplan,Naturaplan	coop-naturaplan,naturaplan	Snacks,Snacks sucrés,Barres,Barres de céréales	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars					Végétarien,Commerce équitable,Végétalien,Fabriqué en Suisse,en:max-havelaar	en:vegetarian,en:fair-trade,en:vegan,en:made-in-swiss,en:max-havelaar							France,Suisse,en:switzerland	Ingrédients: flocons de céréales 50% (avoine 36% [Europe], épeautre [Suisse, Europel), graisse de palme (Colombie, Brésil, Madagascar), sirop de sucre inverti* (Paraguay), sucre de canne brut* (Paraguay), corn flakes 8% (mais [Europel, sucre de canne, sel de cuisine, malt d'orge), amidon de froment (Allemagne), extrait de vanille*, sel marin, concentré de jus de citron.	en:gluten,fr:Weizenstärke	en:gluten,fr:weizenstarke			19g	19		0		1		huile-de-palme	0			12	d		Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/761/337/908/8178/front_de.26.400.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/front_de.26.200.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/front_de.26.400.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/front_de.26.200.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/ingredients_fr.42.400.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/ingredients_fr.42.200.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/nutrition_de.28.400.jpg	https://static.openfoodfacts.org/images/products/761/337/908/8178/nutrition_de.28.200.jpg	1880	450	1880		15	7																																			68	25									6			7				0.4	0.16																																												12								
3583788735007	https://fr.openfoodfacts.org/produit/3583788735007	openfoodfacts-contributors	1460966582	1604878288	Barres de céréales		6x21g				Aptonia	aptonia	Snacks, Snacks sucrés, Barres, Barres de céréales	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars												Décathlon	France	"céréalières à l'abricot. source de vitamine L a vitamine BI contribue au fonctionnement éneraétique normal de l'organisme. Ingrédients : Céréales 43,5% [flocons d'avoine* 17,2%, farine de blé*, *es de mais (maïs, sel extrait de malt d'orge*), farine de riz], glucose, abricot 14,9% (abricot, farine de riz, conservateur : anhy sulfureux), huile de palme, stabilisant : sorbitols, dextrose sucre arôme, caramel aromatique (sirop de glucose, sucre, eau), sel, émulsifiant sucroesters d'acides gras, vitamine BI. *Contient du gluten. Fabriqué dans lait, soja, arachides, fruits à coque, Conseils un atelier utilisant d'utilisation : Consommer 1 barre pour obtenir l'effet souhaité. S'hydrater régulièrement. En complément d'une activité physique, il est important de conserver une alimentation variée et équilibrée et un mode de vie sain. Conseryer dans un endroit frais et sec,"		en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans						3	en:e150a,en:e420,en:e473	1		huile-de-palme	0			10	c	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:cereal-bars	https://static.openfoodfacts.org/images/products/358/378/873/5007/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/358/378/873/5007/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/358/378/873/5007/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/358/378/873/5007/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/358/378/873/5007/ingredients_fr.12.400.jpg	https://static.openfoodfacts.org/images/products/358/378/873/5007/ingredients_fr.12.200.jpg				381	1594		6.1	2.7																																			74	26									3.4			5.6				0.48	0.192																																												10								
4000521020712	https://fr.openfoodfacts.org/produit/4000521020712	kiliweb	1539238137	1604862821	Vitalis kraft futter						Dr.Oetker	dr-oetker	"Imbiss, Süßwaren, Riegel, Getreideriegel, Müsliriegel mit Schokolade"	en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:chocolate-cereal-bars													France	"40% Vollkorn-HAFERFLOCKEN, Zucker, 13% Vollkorn-WEIZENMEHL, Sonnenblumenöl, MILCHPROTEIN - Konzentrat, Oligofruktose, Glukosesirup, WEIZENKEIME, Kakaomasse, fettarmes Kakaopulver, Reisgrieß, Honig, GERSTENMALZMEHL, VOLLMILCHPULVER, Kakaobutter, Salz, MILCHZUCKER, WEIZEN - GLUTEN, MAGERMILCHPULVER, Aroma, Emulgator (Lecithine)"	en:gluten,en:milk	en:gluten,en:milk						1	en:e322,en:e322i	0			0			9	c	4	Sugary snacks	Biscuits and cakes	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded		en:chocolate-cereal-bars	https://static.openfoodfacts.org/images/products/400/052/102/0712/front_de.4.400.jpg	https://static.openfoodfacts.org/images/products/400/052/102/0712/front_de.4.200.jpg	https://static.openfoodfacts.org/images/products/400/052/102/0712/front_de.4.400.jpg	https://static.openfoodfacts.org/images/products/400/052/102/0712/front_de.4.200.jpg	https://static.openfoodfacts.org/images/products/400/052/102/0712/ingredients_de.7.400.jpg	https://static.openfoodfacts.org/images/products/400/052/102/0712/ingredients_de.7.200.jpg				447	1870		17	3.1																																			55	18									9.2			14				0.73	0.292																																												9								
